architecture,tier,horizon_h,median_estimated_cost_bps_100,events,symbols,mean_return_bps,median_return_bps,trimmed_mean_bps,winsorized_mean_bps,return_ex_top1pct_bps,return_ex_top_symbol_bps,return_ex_top_week_bps,first_half_mean_bps,second_half_mean_bps,raw_events_day,net_edge_bps,move_to_cost,top_symbol_share,top5_symbol_share,top_week_share
vol_expansion,HV_B,4,22.183299389001622,4024,113,-11.89604473378059,-21.67984210623308,-14.596539395873771,-12.297707220954324,-16.75359994844588,-13.6729402236093,-21.619942496819952,-11.576483490763815,-12.216560365776012,102.08879492600424,-34.07934412278221,11.06624593414603,0.08980293319295063,0.3784150810241078,1.0
pump_exhaustion_reversal,HV_A,1,17.55401277422877,2429,82,-17.241830887751018,12.277470841006721,-3.619227067415483,-7.970789011785538,4.448054029028516,-20.125146803572974,-24.736865387545656,-24.830541880482688,-9.089313015115282,13.611020312864813,-34.79584366197979,15.846918561508637,0.1141686078388393,0.35566895150434236,0.41341992094789276
attention_continuation,HV_B,4,22.1619838772967,2479,113,-12.865040318041107,-25.330706445256812,-17.205908933319687,-15.666138231759959,-21.09828820815474,-16.521511951251995,-33.93000562724068,-18.308772141534963,-7.40811689885219,62.89217758985201,-35.0270241953378,11.787939264261535,0.12068341759109001,0.3932356228432403,1.0
vol_expansion,HV_B,12,22.183299389001622,2717,113,-23.106678630189364,-37.40648379052192,-21.113142024766873,-17.824948400468124,-16.789275137780237,-25.808124413343332,-44.29447412882373,-24.826068053559048,-21.375860473577184,69.5923159018143,-45.28997801919098,16.179880872743954,0.08750759398695314,0.3692901402547474,1.0
attention_continuation,HV_B,12,22.1619838772967,1892,113,-35.52093026552275,-42.85240002131374,-33.49813133618796,-30.035226430366134,-28.81889638760479,-39.108140723466384,-73.13730611268447,-66.47341417564006,-4.502938452950168,48.46104589114194,-57.68291414281945,17.753784069894362,0.09144830884648263,0.34506247982365024,1.0
pump_exhaustion_reversal,HV_A,12,17.55401277422877,1892,81,-46.39030138799672,15.66170712607673,-16.893972690310648,-31.264400626017185,0.40027733678618543,-52.946823381684545,-55.93078214267605,-34.21469475215176,-58.669310203339315,10.626725953662532,-63.944314162225496,31.298138345665667,0.13239987781926452,0.4192615642218009,0.2487604960159978
pump_exhaustion_reversal,HV_A,24,17.55401277422877,1696,81,-84.7816950535812,4.090096210967453,-50.25518408321883,-64.05137694466106,-28.767888225738453,-91.43477839388999,-95.1177744346483,-73.95148084001507,-95.6119092671473,9.557173045315801,-102.33570782780997,41.205979320332325,0.1321846387843544,0.409412769799016,0.18607470223584172
pump_exhaustion_reversal,HV_B,24,21.945300845350168,648,113,-94.74999498313935,-41.86857156884439,-82.65478960003767,-92.28614768040916,-71.69500600548866,-108.4518542102716,-129.89385487981343,-34.64272211176241,-154.8572678545163,16.83116883116883,-116.69529582848952,28.545160099791318,0.11277222930748232,0.3687542273988501,0.8111474016400384
pump_exhaustion_reversal,HV_C,4,24.990728325346442,36,5,-100.70206626554922,-34.30243972902869,-101.48489129436662,-107.34307785797172,-34.248902175240175,-136.7313581221399,-156.80176816551054,-256.5115835803021,55.10745104920372,0.9340540540540541,-125.69279459089566,17.753398179768688,0.8729030806498773,1.0,0.8949945002045281
pump_exhaustion_reversal,HV_C,12,24.990728325346442,32,5,-308.8266477358122,-69.51838671411636,-248.3961825411536,-299.2664982078958,-181.2806743824896,-389.66352427993183,-342.12082624450886,-716.3972263991947,98.74393092757042,0.8302702702702703,-333.8173760611586,32.826934487457,1.0,1.0,0.7039538820137259
pump_exhaustion_reversal,HV_C,24,24.744651797905988,26,5,-847.2247532976309,-649.9419216377366,-641.3705510663336,-795.1363683726267,-556.5102286417093,-1199.8708737068364,-889.523342559933,-1183.1356362654637,-511.31387032979814,0.6842105263157895,-871.9694050955368,50.245978961886316,,,
